category,name,binomial,description
Amphibians,Common Frog,Rana temporaria,"Up to 10cm long, the Common Frog has an upperside whose ground colour ranges from very dark brown (such as specimen pictured here), through greyish-brown and olive green to yellow or even brick-red. Underside ranges from white to yellow, speckled with brown. The dark patches on the back vary, but there is always a dark patch, enclosing the eardrum, just behind the eye. The legs usually have dark transverse bands. There is a prominent skin fold on each side of the body. Eats slugs, worms, snails, and many other invertebrates on land, but doesn't feed in the water. Spends most of its time in damp places on land and moves to ponds and ditches to breed in Spring. Their gelatinous egg masses (frogspawn) give rise to tadpoles that turn into little frogs in about three months. Winter is passed in a dormant state, often in mud at the bottom of ponds.tones are bright yellow butterflies, and are often the first butterflies to be seen in spring. Male brimstone butterflies have sulphur-yellow forewings and hindwings with an orange central spot. The female's fore- and hindwings are a delicate yellow or pale green with an orange central spot. Both butterflies have greenish veined underwings. The pupa looks like a curled leaf. New adults emerge from their chrysalids in July and live until the following July. Adults hibernate over winter in woodlands and emerge on warm spring days. Last year's brimstones are often the first butterflies to be seen in spring. They are most likely to be found in woodland, gardens or meadows, sipping nectar from teasel, knapweed and buddleia. Brimstones are common in most of the UK, and have been spreading in recent years, particularly in northern England."
Caterpillars,Brown-tail Moth,Europroctis chrysorrhoea,"Euproctis chrysorrhoea, a plain white species when at rest, although the abdomen, as the name suggests, has a brown tuft of hairs which the female uses to cover the eggs with when they are laid. The species is distributed mainly around the south and east coasts of England, and in some years can become locally abundant. The caterpillars are well-known for their urticating hairs; they cause extreme irritation if in contact with human skin. They feed in a communal web on the leaves of Hawthorn (Crataegus) and Blackthorn (Prunus spinosa)."
Caterpillars,Cinnabar Moth,Tyria jacobaeae,"The cinnabar moth (Tyria jacobaeae) is a brightly coloured arctiid moth, named after the red mineral cinnabar because of the red patches on its predominantly black wings. Cinnabar moths are about 20mm long and have a wingspan of 32 to 42 mm. Cinnabar moths are day-flying insects. Like many other brightly coloured moths, it is unpalatable; the larvae use members of the genus Senecio as foodplants. Many members of the genus have been recorded as foodplants, but for long-term population success, the presence of the larger species such as ragwort is needed. Smaller plant species, such as groundsel, are sometimes used, but since the species lays its eggs in large batches, survival tends to be reduced. The bright colours of both the larvae and the moths act as warning signs, so they are seldom eaten by predators."
Caterpillars,Mullein Moth,Cucullia verbasci,"Distributed widely in England, most commonly in the south, and scarcer in Wales, this species is more often found in the caterpillar stage than adults, which however do come to light. The normal flight period is April to May, and the species occupies a range of open habitats as well as gardens. The larval foodplants in the wild are various species of mullein (Verbascum), but it also feeds in gardens on Buddleia."
Caterpillars,Small Tortoiseshell,Aglais urticae,"The Small Tortoiseshell (Aglais urticae) is a small and attractive butterfly often seen in gardens, especially feeding on buddleia. Wingspan is about 50mm. The wings are orange with a thin border of brown with small blue dots along the sides. At the front edge of the upper wings there is a pattern of black and yellow or orange marks. Eggs are usually laid on the common stinging nettle, and the caterpillars are yellow with dense black speckling and two yellow lines down their back and one along each side. They have black spines along their sides and back. They feed on nettle leaves, often spinning leaves together. The adults drink nectar from flowers such as thistles and buddleia. The adults will very often rest with their wings closed but will open and close them rapidly, flashing their bright colours to confuse and alarm predators. Small Tortoiseshells are not listed as endangered on the IUCN Red List 2000."
Damselflies,Azure Damselfly,Coenagrion puella,"Adult male Azure damselflies have a head and thorax patterned with blue and black. They have an azure blue abdomen patterned with black markings. Adult female Azure Damselflies have a head and thorax pattern similar to that of the male, but with dull green replacing the blue colour. The abdominal segments are largely black in colour, with narrow pale markings at the junction between each segment. Mature adults are seen frequently mating and laying eggs. It usually stays close to the vegetation around the pond or lake and flies from May to September. This common Damselfly looks very like a Common Blue Damselfly, but a close look can distinguish between the two. The behaviour is also different - unlike Common Blues, they rarely fly out over large stretches of water. They are not normally as common around August and September, June and July being the peak of their populations."
Damselflies,Banded Demoiselle,Calopteryx splendens,"The male Banded demoiselle has a brilliant metallic blue body. Wings are less abruptly narrowed than other damselflies and also differ from them in being coloured. Females have greenish-yellow tinged wings, but the male has a dark blueish-black area of colouration on both fore and hind wings. Males are usually territorial, but large numbers can sometimes be found in lush bankside plants and on floating objects. They court females by opening their wings and performing an aerial dance. They are usually found among mature, slow-flowing streams and rivers and sometimes canals. The females lay eggs on a wide variety of emergent or floating plants, sometimes even submerging to do so. The eggs hatch after 14 days, the emerging larvae having very long legs and appearing very stick-shaped. They overwinter buried in mud; when they are ready to moult into an adult, they climb up a suitable reed or plant and shed their skin."
Damselflies,Blue-tailed Damselfly,Ischnura elegans,"Best distinguished from the similar Common Blue Damselfly by the thinner blue stripes on its thorax. The female is much darker with mainly black markings on its abdomen interspersed with greenish rings. Abdomen usually black with 8th segment bright blue in both sexes, but female sometimes lacks blue. Pterostigma bicoloured. Catches prey in flight or on leaves of foliage or even from spiders webs. Found around still waters of all kinds, including polluted ponds, and are widespread and common throughout most of the UK."
Damselflies,Common Blue Damselfly,Enallagma cyathigerum,"The Common Blue Damselfly can be easily mistaken for the Azure Damselfly (Coenagrion puella), but on the back and the thorax, the Common Blue Damselfly has more blue than black; for the Azure Damselfly it is the other way around. The second segment of the thorax has a distinctive spot with a line below connecting to the third segment. Another difference can be observed when inspecting the side of the thorax. The Common Blue Damselfly has only one small black stripe there, while all other blue damselflies have two. This small, brightly coloured damselfly is probably the most common of dragonflies and damselflies throughout much of Britain. It inhabits a wide range of habitats, from small ponds to rivers. They are especially common at lakes and reservoirs."
Damselflies,Emerald Damselfly,Lestes sponsa,"One of the larger damselflies, this species is most common in July and August. It is often found by ponds and lakes, and is very rarely seen along flowing water. Emerald Damselflies like to perch among reeds, their colour providing good camouflage. They are not as strong fliers when compared to other common damselflies such as the common blue or large red damselflies, but they are more likely to be seen on misty, rainy days then those species. When disturbed they usually do not fly very far away, landing on another perch a few yards away. Their habit of perching with their wings half open is characteristic of the family Lestidae and gives rise to their other common name of spreadwings. A population can consist of several hundred insects."
Damselflies,Large Red Damselfly,Pyrrhosoma nymphula,"Often the earliest dragonfly or damselfly to appear, it is relatively easy to identify being red and black, with the black legs, which distinguish it from the Small Red Damselfly. Measuring roughly 36mm in length, the Large Red Damselfly is a large, active, deep red damselfly with black legs and a bronze-black top to the thorax which has broad red or yellow stripes. The female exists in several colour forms varying in the amount of red and black on the abdomen from nearly all black in f. melanotum to mainly red in f. fulvipes. The pterostigma is black. This is one of the earliest species to appear each spring and can be found in almost any freshwater habitat but rarely on fast-flowing rivers or streams. Widespread and common in Britain and Ireland."
Earwigs,Common Earwig,Forficula auricularia,"Length 10-15mm, excluding the pincers. The latter are 4-9mm in the male, strongly curved and with a flat base. Female pincers are 4-5mm and almost straight. The body is shiny brown, with the hindwings projecting as short triangles from under the short forewings. Mainly vegetarian, eating a wide range of living and dead plant material, but also taking some insect food. Largely nocturnal, hiding under loose bark and in other crevices by day. Young earwigs always have straight, slender pincers. The white or cream earwigs that are often unearthed in the garden are not different species; simply individuals that have just changed their skins. Adult all year, but usually dormant in winter. Abundant almost everywhere, in the house as well as in the garden. Often in trees, commonly nestling in clusters of apples in late summer. Throughout Europe and the only earwig commonly seen in the UK."
Froghoppers,Common Froghopper,Philaenus spumarius,"A spectacularly variable species, with many dramatically different colour forms. Usually they are yellowish, brownish or black, with brighter patches on a dark background, but also with dark markings on a lighter background. An extremely common species in a wide range of plants across the UK, the larvae are the familiar producers of 'cuckoo-spit' in gardens. Their larvae in the foam nests are largely protected from predators and also get the necessary moisture for the development and temperature, so their mortality remains low even in bad weather. The larval stage lasts about 50 days. The adults leave the foam nest only when it is completely dried. This takes about ten days. The females mate soon after. Adults can be seen June to September, length 5-7 mm."
Froghoppers,Red and Black Froghopper,Cercopis vulnerata,"With a length of 9-11mm, Cercopis vulnerata is a truly unmistakable species; it is very commonly found resting on the stems of grasses and other low-growing plants and is one of our largest homopterans. The nymphs are rarely seen, as they feed on underground roots. Adults are found in mainland Britain south of the Scottish Highlands, in a variety of wooded and open habitats. Adults can be seen April to August."
